"patient"	"nCount_RNA"	"nFeature_RNA"	"sample"	"ads_x"	"ads_y"	"pixel_x"	"pixel_y"	"SCT_snn_res.0.8"
"P9_40x36_3"	" 9"	"  207"	" 182"	"3"	"39.99"	"36.04"	" 9250.4"	" 9132.2"	"1"
"P9_40x38_3"	" 9"	"  221"	" 201"	"3"	"39.96"	"37.99"	" 9245.7"	" 9523.6"	"0"
"P9_40x40_3"	" 9"	"  220"	" 186"	"3"	"39.96"	"40.05"	" 9244.8"	" 9936.7"	"2"
"P9_41x5_3"	" 9"	"  382"	" 330"	"3"	"40.97"	" 5.01"	" 9427.2"	" 2917.0"	"2"
"P9_41x7_3"	" 9"	"  286"	" 251"	"3"	"41.01"	" 7.04"	" 9434.3"	" 3323.1"	"1"
"P9_41x9_3"	" 9"	"  332"	" 290"	"3"	"41.01"	" 9.06"	" 9435.1"	" 3726.7"	"2"
"P9_41x11_3"	" 9"	"  331"	" 284"	"3"	"41.02"	"11.04"	" 9437.2"	" 4124.1"	"2"
"P9_41x13_3"	" 9"	"  356"	" 302"	"3"	"40.96"	"13.01"	" 9425.9"	" 4519.2"	"2"
"P9_41x15_3"	" 9"	"  299"	" 261"	"3"	"41.02"	"15.03"	" 9436.3"	" 4923.3"	"1"
"P9_41x17_3"	" 9"	"  211"	" 195"	"3"	"40.97"	"17.04"	" 9427.2"	" 5325.9"	"0"
"P9_41x19_3"	" 9"	"  324"	" 277"	"3"	"41.02"	"19.02"	" 9437.2"	" 5723.6"	"1"
"P9_41x21_3"	" 9"	"  328"	" 257"	"3"	"40.97"	"21.01"	" 9427.2"	" 6121.6"	"2"
"P9_41x23_3"	" 9"	"  223"	" 189"	"3"	"40.99"	"23.05"	" 9431.0"	" 6530.0"	"0"
"P9_41x27_3"	" 9"	"  235"	" 208"	"3"	"41.01"	"26.99"	" 9434.6"	" 7320.0"	"0"
"P9_41x29_3"	" 9"	"  267"	" 235"	"3"	"40.95"	"29.02"	" 9424.1"	" 7727.4"	"5"
"P9_41x31_3"	" 9"	" 2430"	"1479"	"3"	"40.97"	"31.03"	" 9427.3"	" 8128.8"	"6"
"P9_41x33_3"	" 9"	"  369"	" 305"	"3"	"40.97"	"33.03"	" 9427.1"	" 8530.7"	"0"
"P9_41x43_3"	" 9"	"  203"	" 183"	"3"	"41.00"	"43.02"	" 9432.6"	"10531.2"	"2"
"P9_41x45_3"	" 9"	"  431"	" 342"	"3"	"40.95"	"45.02"	" 9424.7"	"10931.3"	"1"
"P9_41x49_3"	" 9"	"  290"	" 251"	"3"	"40.98"	"48.99"	" 9428.9"	"11728.3"	"1"
"P9_41x51_3"	" 9"	"  198"	" 169"	"3"	"40.99"	"50.99"	" 9431.4"	"12127.6"	"2"
"P9_42x6_3"	" 9"	"  361"	" 310"	"3"	"42.00"	" 6.06"	" 9613.0"	" 3127.6"	"2"
"P9_42x8_3"	" 9"	"  346"	" 290"	"3"	"42.03"	" 8.09"	" 9618.9"	" 3533.7"	"2"
"P9_42x10_3"	" 9"	"  217"	" 195"	"3"	"42.04"	"10.09"	" 9620.2"	" 3934.0"	"2"
"P9_42x14_3"	" 9"	"  240"	" 216"	"3"	"42.00"	"14.06"	" 9613.1"	" 4729.2"	"1"
"P9_42x16_3"	" 9"	"  245"	" 216"	"3"	"42.02"	"16.06"	" 9616.1"	" 5130.1"	"0"
"P9_42x18_3"	" 9"	"  224"	" 198"	"3"	"42.02"	"18.07"	" 9617.5"	" 5532.6"	"0"
"P9_42x20_3"	" 9"	"  453"	" 377"	"3"	"41.98"	"20.06"	" 9610.1"	" 5931.9"	"2"
"P9_42x22_3"	" 9"	"  232"	" 215"	"3"	"41.98"	"22.05"	" 9608.9"	" 6329.4"	"0"
"P9_42x26_3"	" 9"	"  305"	" 272"	"3"	"42.00"	"26.05"	" 9614.0"	" 7131.3"	"0"
"P9_42x28_3"	" 9"	"  229"	" 196"	"3"	"41.97"	"28.00"	" 9608.2"	" 7522.2"	"5"
"P9_42x30_3"	" 9"	"  386"	" 330"	"3"	"41.94"	"30.01"	" 9603.3"	" 7925.4"	"1"
"P9_42x32_3"	" 9"	" 1922"	"1231"	"3"	"41.98"	"32.01"	" 9610.1"	" 8325.4"	"6"
"P9_42x34_3"	" 9"	"  241"	" 208"	"3"	"42.01"	"34.01"	" 9615.5"	" 8726.2"	"1"
"P9_42x36_3"	" 9"	"  212"	" 190"	"3"	"42.00"	"36.04"	" 9614.0"	" 9132.8"	"1"
"P9_42x44_3"	" 9"	" 1733"	"1065"	"3"	"42.00"	"44.01"	" 9612.6"	"10730.1"	"3"
"P9_42x46_3"	" 9"	"  806"	" 602"	"3"	"41.95"	"46.01"	" 9604.8"	"11130.9"	"0"
"P9_42x48_3"	" 9"	"  244"	" 218"	"3"	"41.98"	"48.01"	" 9610.3"	"11531.0"	"0"
"P9_42x52_3"	" 9"	" 1678"	"1124"	"3"	"42.01"	"52.00"	" 9615.8"	"12330.4"	"1"
"P9_43x5_3"	" 9"	"  213"	" 185"	"3"	"42.97"	" 5.02"	" 9787.7"	" 2917.6"	"10"
"P9_43x7_3"	" 9"	"  444"	" 372"	"3"	"43.00"	" 7.07"	" 9794.0"	" 3329.4"	"0"
"P9_43x9_3"	" 9"	"  221"	" 181"	"3"	"43.03"	" 9.09"	" 9799.8"	" 3732.8"	"0"
"P9_43x11_3"	" 9"	"  220"	" 200"	"3"	"43.05"	"11.07"	" 9803.4"	" 4130.0"	"2"
"P9_43x13_3"	" 9"	"  276"	" 240"	"3"	"42.99"	"13.07"	" 9791.9"	" 4531.3"	"10"
"P9_43x17_3"	" 9"	"  239"	" 213"	"3"	"43.01"	"17.06"	" 9795.7"	" 5331.3"	"5"
"P9_43x19_3"	" 9"	"  937"	" 663"	"3"	"43.03"	"19.07"	" 9798.7"	" 5732.6"	"3"
"P9_43x21_3"	" 9"	"  367"	" 308"	"3"	"42.96"	"21.06"	" 9786.4"	" 6130.9"	"2"
"P9_43x23_3"	" 9"	"  272"	" 239"	"3"	"42.97"	"23.04"	" 9788.0"	" 6528.8"	"1"
"P9_43x25_3"	" 9"	"  228"	" 206"	"3"	"43.00"	"25.07"	" 9793.3"	" 6935.8"	"0"
"P9_43x27_3"	" 9"	"  467"	" 342"	"3"	"42.99"	"27.03"	" 9792.8"	" 7328.2"	"0"
"P9_43x31_3"	" 9"	"  286"	" 235"	"3"	"42.99"	"31.02"	" 9791.3"	" 8128.0"	"6"
"P9_43x33_3"	" 9"	"  326"	" 278"	"3"	"42.98"	"33.01"	" 9790.5"	" 8526.3"	"11"
"P9_43x35_3"	" 9"	"  207"	" 178"	"3"	"43.01"	"35.01"	" 9796.6"	" 8926.0"	"1"
"P9_43x37_3"	" 9"	"  198"	" 172"	"3"	"42.95"	"37.02"	" 9784.2"	" 9328.9"	"0"
"P9_43x39_3"	" 9"	"  282"	" 253"	"3"	"42.96"	"39.01"	" 9786.4"	" 9727.8"	"0"
"P9_43x43_3"	" 9"	"  590"	" 462"	"3"	"43.00"	"43.02"	" 9794.3"	"10531.4"	"2"
"P9_43x45_3"	" 9"	" 1073"	" 759"	"3"	"42.94"	"45.02"	" 9783.9"	"10931.8"	"0"
"P9_43x47_3"	" 9"	"  375"	" 288"	"3"	"42.96"	"47.00"	" 9787.2"	"11328.5"	"0"
"P9_43x51_3"	" 9"	" 1697"	"1117"	"3"	"43.01"	"51.00"	" 9796.0"	"12129.6"	"2"
"P9_43x53_3"	" 9"	"  841"	" 610"	"3"	"42.94"	"53.00"	" 9783.3"	"12530.9"	"1"
"P9_44x6_3"	" 9"	"  300"	" 253"	"3"	"43.99"	" 6.06"	" 9972.0"	" 3126.4"	"1"
"P9_44x8_3"	" 9"	"  263"	" 225"	"3"	"44.02"	" 8.07"	" 9978.1"	" 3530.3"	"1"
"P9_44x10_3"	" 9"	"  227"	" 209"	"3"	"44.03"	"10.07"	" 9980.5"	" 3930.8"	"1"
"P9_44x12_3"	" 9"	"  232"	" 206"	"3"	"43.98"	"12.05"	" 9970.6"	" 4327.2"	"2"
"P9_44x14_3"	" 9"	"  270"	" 238"	"3"	"43.99"	"14.05"	" 9971.8"	" 4726.5"	"1"
"P9_44x16_3"	" 9"	"  214"	" 193"	"3"	"44.00"	"16.06"	" 9974.8"	" 5129.1"	"2"
"P9_44x18_3"	" 9"	" 1253"	" 855"	"3"	"44.02"	"18.06"	" 9978.3"	" 5529.9"	"3"
"P9_44x20_3"	" 9"	"  785"	" 599"	"3"	"43.96"	"20.04"	" 9967.8"	" 5928.1"	"3"
"P9_44x22_3"	" 9"	"  231"	" 194"	"3"	"43.98"	"22.02"	" 9970.0"	" 6324.6"	"0"
"P9_44x24_3"	" 9"	"  225"	" 198"	"3"	"43.99"	"24.05"	" 9972.2"	" 6731.6"	"9"
"P9_44x26_3"	" 9"	"  232"	" 204"	"3"	"44.00"	"26.02"	" 9973.6"	" 7125.9"	"0"
"P9_44x28_3"	" 9"	"  212"	" 182"	"3"	"43.97"	"28.01"	" 9969.4"	" 7524.5"	"2"
"P9_44x32_3"	" 9"	"  413"	" 344"	"3"	"43.98"	"32.01"	" 9970.2"	" 8324.9"	"3"
"P9_44x36_3"	" 9"	"  224"	" 206"	"3"	"43.96"	"35.99"	" 9967.7"	" 9122.8"	"1"
"P9_44x40_3"	" 9"	"  231"	" 204"	"3"	"43.99"	"40.00"	" 9973.1"	" 9926.6"	"1"
"P9_44x44_3"	" 9"	"  693"	" 498"	"3"	"43.99"	"44.00"	" 9972.9"	"10728.0"	"1"
"P9_44x48_3"	" 9"	"  267"	" 221"	"3"	"43.99"	"47.98"	" 9971.7"	"11525.8"	"0"
"P9_44x52_3"	" 9"	" 1939"	"1209"	"3"	"44.00"	"51.99"	" 9974.7"	"12328.1"	"1"
"P9_45x7_3"	" 9"	"  325"	" 273"	"3"	"45.01"	" 7.09"	"10157.3"	" 3332.4"	"5"
"P9_45x9_3"	" 9"	"  378"	" 314"	"3"	"45.03"	" 9.11"	"10160.4"	" 3738.0"	"2"
"P9_45x11_3"	" 9"	"  292"	" 264"	"3"	"45.04"	"11.08"	"10162.2"	" 4133.1"	"11"
"P9_45x13_3"	" 9"	"  211"	" 193"	"3"	"44.99"	"13.09"	"10153.2"	" 4534.8"	"1"
"P9_45x15_3"	" 9"	"  262"	" 233"	"3"	"45.00"	"15.07"	"10155.1"	" 4932.0"	"1"
"P9_45x17_3"	" 9"	" 1142"	" 795"	"3"	"45.02"	"17.09"	"10157.7"	" 5336.4"	"2"
"P9_45x19_3"	" 9"	"  735"	" 584"	"3"	"45.03"	"19.08"	"10159.7"	" 5735.7"	"0"
"P9_45x21_3"	" 9"	"  388"	" 324"	"3"	"44.97"	"21.06"	"10150.1"	" 6131.7"	"2"
"P9_45x23_3"	" 9"	"  216"	" 194"	"3"	"44.97"	"23.06"	"10149.6"	" 6532.9"	"1"
"P9_45x31_3"	" 9"	"  210"	" 183"	"3"	"44.97"	"31.02"	"10149.0"	" 8126.4"	"1"
"P9_45x33_3"	" 9"	"  225"	" 194"	"3"	"45.01"	"32.96"	"10157.4"	" 8515.8"	"1"
"P9_45x35_3"	" 9"	"  225"	" 187"	"3"	"44.98"	"35.02"	"10152.1"	" 8929.3"	"1"
"P9_45x37_3"	" 9"	"  233"	" 203"	"3"	"44.93"	"37.02"	"10142.3"	" 9330.3"	"2"
"P9_46x6_3"	" 9"	"  359"	" 310"	"3"	"46.00"	" 6.12"	"10335.2"	" 3139.5"	"2"
"P9_46x8_3"	" 9"	"  302"	" 263"	"3"	"45.99"	" 8.17"	"10334.3"	" 3550.3"	"2"
"P9_46x10_3"	" 9"	"  454"	" 377"	"3"	"46.05"	"10.11"	"10344.4"	" 3938.8"	"2"
"P9_46x12_3"	" 9"	"  257"	" 215"	"3"	"46.00"	"12.12"	"10335.5"	" 4340.0"	"0"
"P9_46x14_3"	" 9"	"  315"	" 274"	"3"	"46.02"	"14.11"	"10339.3"	" 4739.8"	"2"
"P9_46x16_3"	" 9"	"  226"	" 197"	"3"	"46.06"	"16.10"	"10346.7"	" 5137.3"	"0"
"P9_46x18_3"	" 9"	"  777"	" 589"	"3"	"45.91"	"18.15"	"10319.7"	" 5548.8"	"3"
"P9_46x20_3"	" 9"	"  621"	" 488"	"3"	"45.94"	"20.16"	"10324.2"	" 5951.2"	"3"
"P9_46x38_3"	" 9"	"  196"	" 175"	"3"	"45.96"	"38.01"	"10328.6"	" 9527.1"	"10"
"P9_46x40_3"	" 9"	"  199"	" 188"	"3"	"45.92"	"40.02"	"10321.0"	" 9931.4"	"3"
"P9_46x48_3"	" 9"	"  218"	" 188"	"3"	"45.99"	"48.06"	"10333.4"	"11542.2"	"1"
"P9_46x50_3"	" 9"	"  225"	" 202"	"3"	"45.95"	"50.05"	"10326.8"	"11939.9"	"2"
"P9_46x52_3"	" 9"	"  313"	" 273"	"3"	"45.95"	"52.08"	"10325.7"	"12347.5"	"5"
"P9_47x7_3"	" 9"	"  227"	" 204"	"3"	"47.02"	" 7.10"	"10520.1"	" 3334.3"	"2"
"P9_47x9_3"	" 9"	"  332"	" 286"	"3"	"47.04"	" 9.10"	"10523.4"	" 3735.2"	"0"
"P9_47x11_3"	" 9"	"  328"	" 281"	"3"	"47.01"	"11.06"	"10517.6"	" 4127.9"	"1"
"P9_47x13_3"	" 9"	"  286"	" 241"	"3"	"47.03"	"13.17"	"10521.3"	" 4551.4"	"2"
"P9_47x15_3"	" 9"	"  320"	" 263"	"3"	"46.97"	"15.13"	"10510.2"	" 4943.6"	"1"
"P9_47x19_3"	" 9"	"  683"	" 530"	"3"	"47.02"	"19.18"	"10519.1"	" 5756.0"	"1"
"P9_47x21_3"	" 9"	"  278"	" 237"	"3"	"46.92"	"21.13"	"10502.2"	" 6145.7"	"11"
"P9_47x33_3"	" 9"	"  227"	" 201"	"3"	"46.95"	"33.06"	"10507.5"	" 8536.1"	"2"
"P9_47x45_3"	" 9"	"  204"	" 176"	"3"	"46.95"	"45.11"	"10506.3"	"10950.5"	"1"
"P9_47x53_3"	" 9"	" 2803"	"1632"	"3"	"46.89"	"53.02"	"10496.5"	"12535.5"	"3"
"P9_48x6_3"	" 9"	"  265"	" 233"	"3"	"48.04"	" 6.13"	"10703.4"	" 3140.1"	"2"
"P9_48x8_3"	" 9"	"  357"	" 309"	"3"	"48.05"	" 8.15"	"10705.8"	" 3544.9"	"2"
"P9_48x10_3"	" 9"	"  458"	" 372"	"3"	"48.04"	"10.05"	"10703.0"	" 3926.4"	"2"
"P9_48x12_3"	" 9"	"  443"	" 373"	"3"	"47.97"	"12.19"	"10690.3"	" 4353.8"	"2"
"P9_48x14_3"	" 9"	"  372"	" 317"	"3"	"48.01"	"14.09"	"10697.9"	" 4735.1"	"2"
"P9_48x16_3"	" 9"	"  229"	" 211"	"3"	"48.02"	"16.14"	"10699.4"	" 5145.5"	"1"
"P9_48x18_3"	" 9"	"  283"	" 238"	"3"	"47.96"	"18.11"	"10689.1"	" 5540.9"	"5"
"P9_48x20_3"	" 9"	"  219"	" 194"	"3"	"47.93"	"20.11"	"10683.2"	" 5941.5"	"1"
"P9_48x36_3"	" 9"	"  205"	" 183"	"3"	"47.95"	"36.02"	"10687.7"	" 9128.7"	"1"
"P9_48x50_3"	" 9"	"  205"	" 181"	"3"	"47.95"	"50.04"	"10688.2"	"11938.8"	"0"
"P9_48x54_3"	" 9"	"  284"	" 255"	"3"	"47.91"	"54.02"	"10681.0"	"12735.5"	"10"
"P9_49x5_3"	" 9"	"  345"	" 295"	"3"	"48.93"	" 5.07"	"10864.5"	" 2928.2"	"2"
"P9_49x7_3"	" 9"	"  517"	" 422"	"3"	"49.03"	" 7.11"	"10882.2"	" 3338.0"	"0"
"P9_49x9_3"	" 9"	"  222"	" 203"	"3"	"49.01"	" 9.12"	"10878.7"	" 3738.7"	"3"
"P9_49x11_3"	" 9"	"  371"	" 321"	"3"	"49.03"	"11.10"	"10881.7"	" 4137.1"	"2"
"P9_49x13_3"	" 9"	"  271"	" 234"	"3"	"49.07"	"13.12"	"10889.4"	" 4540.8"	"1"
"P9_49x15_3"	" 9"	"  213"	" 199"	"3"	"49.02"	"15.11"	"10880.8"	" 4938.8"	"0"
"P9_49x17_3"	" 9"	"  346"	" 285"	"3"	"48.99"	"17.10"	"10875.5"	" 5339.0"	"1"
"P9_49x19_3"	" 9"	"  325"	" 282"	"3"	"48.99"	"19.14"	"10875.0"	" 5747.4"	"2"
"P9_49x21_3"	" 9"	"  210"	" 189"	"3"	"48.93"	"21.09"	"10864.2"	" 6138.3"	"1"
"P9_49x33_3"	" 9"	"  218"	" 194"	"3"	"48.96"	"33.05"	"10869.3"	" 8534.8"	"0"
"P9_49x43_3"	" 9"	"  227"	" 204"	"3"	"48.97"	"43.04"	"10870.7"	"10536.2"	"1"
"P9_49x45_3"	" 9"	"  205"	" 189"	"3"	"48.91"	"45.05"	"10860.3"	"10937.9"	"0"
"P9_49x53_3"	" 9"	"  199"	" 176"	"3"	"48.92"	"53.00"	"10862.3"	"12530.6"	"0"
"P9_50x6_3"	" 9"	"  423"	" 366"	"3"	"50.00"	" 6.10"	"11056.8"	" 3135.6"	"1"
"P9_50x8_3"	" 9"	"  398"	" 359"	"3"	"50.03"	" 8.13"	"11063.0"	" 3540.6"	"0"
"P9_50x10_3"	" 9"	"  331"	" 290"	"3"	"50.03"	"10.11"	"11062.8"	" 3937.1"	"1"
"P9_50x12_3"	" 9"	"  657"	" 504"	"3"	"49.93"	"12.08"	"11044.2"	" 4332.9"	"2"
"P9_50x16_3"	" 9"	"  298"	" 258"	"3"	"50.02"	"16.09"	"11061.3"	" 5136.7"	"2"
"P9_50x18_3"	" 9"	"  352"	" 285"	"3"	"49.99"	"18.08"	"11055.9"	" 5534.1"	"1"
"P9_50x20_3"	" 9"	"  405"	" 361"	"3"	"49.93"	"20.05"	"11044.6"	" 5929.9"	"2"
"P9_50x22_3"	" 9"	"  280"	" 242"	"3"	"49.95"	"22.12"	"11048.4"	" 6343.7"	"2"
"P9_50x24_3"	" 9"	"  226"	" 201"	"3"	"49.95"	"24.06"	"11048.2"	" 6733.1"	"1"
"P9_50x26_3"	" 9"	"  212"	" 189"	"3"	"49.99"	"26.05"	"11056.2"	" 7132.0"	"1"
"P9_50x30_3"	" 9"	"  250"	" 212"	"3"	"49.93"	"30.02"	"11045.1"	" 7927.4"	"0"
"P9_50x34_3"	" 9"	"  262"	" 221"	"3"	"49.94"	"34.03"	"11047.0"	" 8729.7"	"2"
"P9_50x40_3"	" 9"	"  268"	" 240"	"3"	"49.93"	"40.02"	"11044.9"	" 9930.9"	"1"
"P9_50x44_3"	" 9"	"  222"	" 199"	"3"	"49.92"	"44.03"	"11043.5"	"10733.9"	"2"
"P9_50x52_3"	" 9"	"  231"	" 205"	"3"	"49.98"	"51.96"	"11053.2"	"12323.6"	"3"
"P9_51x5_3"	" 9"	"  511"	" 417"	"3"	"50.91"	" 5.01"	"11220.9"	" 2917.1"	"2"
"P9_51x7_3"	" 9"	"  433"	" 355"	"3"	"50.98"	" 7.16"	"11234.7"	" 3346.5"	"2"
"P9_51x9_3"	" 9"	"  407"	" 346"	"3"	"51.05"	" 9.15"	"11246.4"	" 3745.5"	"1"
"P9_51x11_3"	" 9"	" 1190"	" 858"	"3"	"51.00"	"11.10"	"11237.5"	" 4135.9"	"5"
"P9_51x13_3"	" 9"	"  434"	" 376"	"3"	"50.96"	"13.08"	"11230.4"	" 4532.9"	"2"
"P9_51x15_3"	" 9"	"  254"	" 228"	"3"	"50.96"	"15.08"	"11230.2"	" 4932.9"	"5"
"P9_51x17_3"	" 9"	"  375"	" 320"	"3"	"50.98"	"17.08"	"11234.5"	" 5335.1"	"1"
"P9_51x19_3"	" 9"	"  280"	" 252"	"3"	"51.00"	"19.05"	"11238.8"	" 5729.5"	"2"
"P9_51x21_3"	" 9"	"  265"	" 228"	"3"	"50.95"	"21.10"	"11228.8"	" 6139.4"	"9"
"P9_51x23_3"	" 9"	"  284"	" 254"	"3"	"50.98"	"23.09"	"11233.8"	" 6537.8"	"2"
"P9_51x27_3"	" 9"	"  267"	" 229"	"3"	"51.00"	"27.07"	"11237.1"	" 7335.8"	"0"
"P9_51x33_3"	" 9"	"  240"	" 212"	"3"	"50.93"	"33.07"	"11225.1"	" 8537.6"	"2"
"P9_51x41_3"	" 9"	"  202"	" 183"	"3"	"50.92"	"41.06"	"11224.3"	"10138.2"	"5"
"P9_52x6_3"	" 9"	"  616"	" 499"	"3"	"52.01"	" 6.16"	"11419.6"	" 3146.7"	"1"
"P9_52x8_3"	" 9"	"  304"	" 265"	"3"	"52.05"	" 8.12"	"11427.9"	" 3539.3"	"1"
"P9_52x10_3"	" 9"	"  621"	" 499"	"3"	"51.95"	"10.08"	"11409.9"	" 3932.9"	"2"
"P9_52x12_3"	" 9"	"  779"	" 596"	"3"	"51.97"	"12.08"	"11413.8"	" 4333.3"	"2"
"P9_52x14_3"	" 9"	"  434"	" 364"	"3"	"51.97"	"14.10"	"11413.2"	" 4737.5"	"2"
"P9_52x18_3"	" 9"	"  233"	" 204"	"3"	"52.00"	"18.08"	"11418.6"	" 5534.1"	"1"
"P9_52x20_3"	" 9"	"  393"	" 339"	"3"	"51.99"	"20.10"	"11415.9"	" 5939.5"	"5"
"P9_52x22_3"	" 9"	"  251"	" 220"	"3"	"52.01"	"22.13"	"11420.0"	" 6347.1"	"1"
"P9_52x24_3"	" 9"	"  258"	" 225"	"3"	"51.97"	"24.07"	"11413.4"	" 6733.9"	"1"
"P9_52x26_3"	" 9"	"  241"	" 207"	"3"	"52.01"	"25.99"	"11420.1"	" 7120.1"	"2"
"P9_52x34_3"	" 9"	"  213"	" 180"	"3"	"51.94"	"34.07"	"11407.6"	" 8738.1"	"0"
"P9_53x5_3"	" 9"	" 1182"	" 820"	"3"	"52.97"	" 5.04"	"11592.8"	" 2923.1"	"0"
"P9_53x7_3"	" 9"	"  604"	" 477"	"3"	"53.02"	" 7.16"	"11602.3"	" 3346.7"	"3"
"P9_53x9_3"	" 9"	"  773"	" 586"	"3"	"53.01"	" 9.12"	"11599.9"	" 3739.3"	"2"
"P9_53x11_3"	" 9"	" 1958"	"1228"	"3"	"52.97"	"11.10"	"11594.1"	" 4136.9"	"0"
"P9_53x13_3"	" 9"	"  347"	" 294"	"3"	"52.98"	"13.11"	"11595.0"	" 4539.5"	"10"
"P9_53x15_3"	" 9"	"  319"	" 276"	"3"	"52.93"	"15.09"	"11586.2"	" 4935.7"	"1"
"P9_53x17_3"	" 9"	"  242"	" 217"	"3"	"53.01"	"17.13"	"11599.9"	" 5344.2"	"0"
"P9_53x19_3"	" 9"	"  230"	" 202"	"3"	"52.98"	"19.07"	"11595.6"	" 5733.4"	"5"
"P9_53x21_3"	" 9"	"  322"	" 285"	"3"	"52.97"	"21.09"	"11593.6"	" 6138.0"	"1"
"P9_53x23_3"	" 9"	"  303"	" 255"	"3"	"52.97"	"23.11"	"11593.3"	" 6542.5"	"1"
"P9_53x25_3"	" 9"	"  204"	" 185"	"3"	"52.96"	"25.07"	"11592.5"	" 6935.4"	"10"
"P9_53x27_3"	" 9"	"  269"	" 231"	"3"	"52.95"	"27.07"	"11590.3"	" 7335.1"	"2"
"P9_53x29_3"	" 9"	"  220"	" 202"	"3"	"52.97"	"29.02"	"11592.7"	" 7726.4"	"1"
"P9_53x35_3"	" 9"	"  280"	" 239"	"3"	"52.96"	"35.06"	"11592.0"	" 8937.7"	"1"
"P9_54x6_3"	" 9"	"  947"	" 714"	"3"	"53.99"	" 6.12"	"11778.3"	" 3139.5"	"2"
"P9_54x8_3"	" 9"	"  555"	" 460"	"3"	"54.03"	" 8.17"	"11784.9"	" 3548.6"	"1"
"P9_54x10_3"	" 9"	"  786"	" 600"	"3"	"54.02"	"10.12"	"11782.5"	" 3939.4"	"0"
"P9_54x12_3"	" 9"	"  783"	" 613"	"3"	"53.96"	"12.12"	"11772.6"	" 4340.5"	"2"
"P9_54x14_3"	" 9"	"  398"	" 351"	"3"	"53.99"	"14.09"	"11777.1"	" 4735.2"	"1"
"P9_54x16_3"	" 9"	"  269"	" 233"	"3"	"54.00"	"16.09"	"11778.8"	" 5136.2"	"1"
"P9_54x18_3"	" 9"	"  260"	" 233"	"3"	"54.01"	"18.09"	"11781.2"	" 5537.4"	"2"
"P9_54x20_3"	" 9"	"  199"	" 164"	"3"	"53.99"	"20.10"	"11777.9"	" 5938.6"	"0"
"P9_54x22_3"	" 9"	"  380"	" 311"	"3"	"53.98"	"22.07"	"11775.3"	" 6334.1"	"2"
"P9_54x24_3"	" 9"	"  247"	" 214"	"3"	"53.99"	"24.05"	"11777.0"	" 6730.9"	"1"
"P9_54x28_3"	" 9"	"  197"	" 176"	"3"	"53.98"	"28.06"	"11776.2"	" 7534.5"	"2"
"P9_54x30_3"	" 9"	"  202"	" 172"	"3"	"53.99"	"30.08"	"11777.0"	" 7938.2"	"2"
"P9_54x32_3"	" 9"	"  243"	" 215"	"3"	"53.99"	"32.08"	"11777.1"	" 8339.2"	"2"
"P9_54x36_3"	" 9"	"  209"	" 189"	"3"	"53.98"	"36.07"	"11776.1"	" 9139.8"	"1"
"P9_55x5_3"	" 9"	" 3614"	"1971"	"3"	"54.95"	" 5.05"	"11950.7"	" 2925.0"	"0"
"P9_55x7_3"	" 9"	"  464"	" 376"	"3"	"55.02"	" 7.09"	"11962.7"	" 3332.0"	"1"
"P9_55x9_3"	" 9"	"  602"	" 488"	"3"	"55.03"	" 9.11"	"11965.2"	" 3738.0"	"0"
"P9_55x11_3"	" 9"	"  520"	" 413"	"3"	"55.04"	"11.08"	"11966.7"	" 4132.3"	"3"
"P9_55x13_3"	" 9"	"  688"	" 563"	"3"	"54.99"	"13.12"	"11957.4"	" 4541.9"	"2"
"P9_55x15_3"	" 9"	"  713"	" 552"	"3"	"54.99"	"15.09"	"11957.3"	" 4936.2"	"10"
"P9_55x17_3"	" 9"	"  335"	" 280"	"3"	"55.00"	"17.11"	"11959.5"	" 5339.5"	"0"
"P9_55x19_3"	" 9"	"  234"	" 200"	"3"	"55.03"	"19.08"	"11965.6"	" 5734.6"	"2"
"P9_55x21_3"	" 9"	" 1779"	"1162"	"3"	"54.98"	"21.06"	"11955.6"	" 6132.7"	"6"
"P9_55x23_3"	" 9"	"  264"	" 236"	"3"	"54.99"	"23.07"	"11957.8"	" 6535.0"	"9"
"P9_55x27_3"	" 9"	"  237"	" 206"	"3"	"55.01"	"27.04"	"11962.6"	" 7329.4"	"1"
"P9_55x33_3"	" 9"	"  251"	" 216"	"3"	"54.99"	"33.08"	"11958.2"	" 8539.4"	"3"
"P9_55x35_3"	" 9"	"  271"	" 229"	"3"	"55.00"	"35.07"	"11959.4"	" 8938.0"	"9"
"P9_56x6_3"	" 9"	" 1556"	"1060"	"3"	"56.00"	" 6.06"	"12141.2"	" 3127.1"	"1"
"P9_56x8_3"	" 9"	"  552"	" 460"	"3"	"56.03"	" 8.09"	"12146.4"	" 3533.1"	"0"
"P9_56x10_3"	" 9"	"  776"	" 546"	"3"	"56.04"	"10.07"	"12147.2"	" 3930.7"	"3"
"P9_56x12_3"	" 9"	"  795"	" 610"	"3"	"55.95"	"12.10"	"12131.3"	" 4336.4"	"2"
"P9_56x14_3"	" 9"	"  565"	" 459"	"3"	"56.01"	"14.08"	"12142.4"	" 4733.3"	"0"
"P9_56x16_3"	" 9"	"  446"	" 353"	"3"	"56.00"	"16.09"	"12139.6"	" 5135.1"	"3"
"P9_56x18_3"	" 9"	"  251"	" 222"	"3"	"56.02"	"18.07"	"12144.1"	" 5533.1"	"2"
"P9_56x22_3"	" 9"	"  738"	" 549"	"3"	"55.98"	"22.06"	"12136.8"	" 6332.0"	"1"
