,source,type,gene_id,gene_version,gene_name,gene_source,gene_biotype,gene_search,is_top_hvg
ENSG00000284650,havana,gene,ENSG00000284650,1,AL031430.1,havana,lincRNA,AL031430.1; ENSG00000284650,FALSE
ENSG00000223944,havana,gene,ENSG00000223944,1,AL353604.1,havana,lincRNA,AL353604.1; ENSG00000223944,FALSE
ENSG00000233621,havana,gene,ENSG00000233621,1,LINC01137,havana,antisense,LINC01137; ENSG00000233621,FALSE
ENSG00000163874,ensembl_havana,gene,ENSG00000163874,10,ZC3H12A,ensembl_havana,protein_coding,ZC3H12A; ENSG00000163874,FALSE
ENSG00000163875,ensembl_havana,gene,ENSG00000163875,15,MEAF6,ensembl_havana,protein_coding,MEAF6; ENSG00000163875,FALSE
ENSG00000163877,ensembl_havana,gene,ENSG00000163877,10,SNIP1,ensembl_havana,protein_coding,SNIP1; ENSG00000163877,FALSE
ENSG00000163879,ensembl_havana,gene,ENSG00000163879,10,DNALI1,ensembl_havana,protein_coding,DNALI1; ENSG00000163879,FALSE
ENSG00000134697,ensembl_havana,gene,ENSG00000134697,12,GNL2,ensembl_havana,protein_coding,GNL2; ENSG00000134697,FALSE
ENSG00000169218,ensembl_havana,gene,ENSG00000169218,13,RSPO1,ensembl_havana,protein_coding,RSPO1; ENSG00000169218,FALSE
ENSG00000116922,ensembl_havana,gene,ENSG00000116922,14,C1orf109,ensembl_havana,protein_coding,C1orf109; ENSG00000116922,FALSE
ENSG00000134690,ensembl_havana,gene,ENSG00000134690,10,CDCA8,ensembl_havana,protein_coding,CDCA8; ENSG00000134690,FALSE
ENSG00000183317,ensembl_havana,gene,ENSG00000183317,16,EPHA10,ensembl_havana,protein_coding,EPHA10; ENSG00000183317,FALSE
ENSG00000185090,ensembl_havana,gene,ENSG00000185090,14,MANEAL,ensembl_havana,protein_coding,MANEAL; ENSG00000185090,FALSE
ENSG00000233728,havana,gene,ENSG00000233728,1,AL929472.3,havana,antisense,AL929472.3; ENSG00000233728,FALSE
ENSG00000196449,ensembl_havana,gene,ENSG00000196449,3,YRDC,ensembl_havana,protein_coding,YRDC; ENSG00000196449,FALSE
ENSG00000197982,ensembl_havana,gene,ENSG00000197982,13,C1orf122,ensembl_havana,protein_coding,C1orf122; ENSG00000197982,TRUE
ENSG00000188786,ensembl_havana,gene,ENSG00000188786,9,MTF1,ensembl_havana,protein_coding,MTF1; ENSG00000188786,FALSE
ENSG00000230955,havana,gene,ENSG00000230955,1,AL929472.2,havana,antisense,AL929472.2; ENSG00000230955,FALSE
ENSG00000204084,ensembl_havana,gene,ENSG00000204084,12,INPP5B,ensembl_havana,protein_coding,INPP5B; ENSG00000204084,FALSE
ENSG00000183431,ensembl_havana,gene,ENSG00000183431,11,SF3A3,ensembl_havana,protein_coding,SF3A3; ENSG00000183431,FALSE
ENSG00000183386,ensembl_havana,gene,ENSG00000183386,9,FHL3,ensembl_havana,protein_coding,FHL3; ENSG00000183386,FALSE
ENSG00000183520,ensembl_havana,gene,ENSG00000183520,11,UTP11,ensembl_havana,protein_coding,UTP11; ENSG00000183520,FALSE
ENSG00000185668,ensembl_havana,gene,ENSG00000185668,7,POU3F1,ensembl_havana,protein_coding,POU3F1; ENSG00000185668,FALSE
ENSG00000224592,havana,gene,ENSG00000224592,5,AL139158.2,havana,lincRNA,AL139158.2; ENSG00000224592,FALSE
ENSG00000284623,havana,gene,ENSG00000284623,1,AL139158.3,havana,lincRNA,AL139158.3; ENSG00000284623,FALSE
ENSG00000237290,havana,gene,ENSG00000237290,1,LINC01343,havana,lincRNA,LINC01343; ENSG00000237290,FALSE
ENSG00000238063,havana,gene,ENSG00000238063,2,LINC01685,havana,lincRNA,LINC01685; ENSG00000238063,FALSE
ENSG00000284632,havana,gene,ENSG00000284632,1,AL354702.2,havana,lincRNA,AL354702.2; ENSG00000284632,FALSE
ENSG00000116954,ensembl_havana,gene,ENSG00000116954,7,RRAGC,ensembl_havana,protein_coding,RRAGC; ENSG00000116954,FALSE
ENSG00000228436,havana,gene,ENSG00000228436,2,AL139260.1,havana,antisense,AL139260.1; ENSG00000228436,FALSE
ENSG00000214114,ensembl_havana,gene,ENSG00000214114,8,MYCBP,ensembl_havana,protein_coding,MYCBP; ENSG00000214114,FALSE
ENSG00000274944,havana,gene,ENSG00000274944,4,AL139260.3,havana,protein_coding,AL139260.3; ENSG00000274944,FALSE
ENSG00000131233,ensembl_havana,gene,ENSG00000131233,9,GJA9,ensembl_havana,protein_coding,GJA9; ENSG00000131233,FALSE
ENSG00000158315,ensembl_havana,gene,ENSG00000158315,10,RHBDL2,ensembl_havana,protein_coding,RHBDL2; ENSG00000158315,FALSE
ENSG00000174574,ensembl_havana,gene,ENSG00000174574,15,AKIRIN1,ensembl_havana,protein_coding,AKIRIN1; ENSG00000174574,FALSE
ENSG00000168653,ensembl_havana,gene,ENSG00000168653,10,NDUFS5,ensembl_havana,protein_coding,NDUFS5; ENSG00000168653,FALSE
ENSG00000127603,ensembl_havana,gene,ENSG00000127603,25,MACF1,ensembl_havana,protein_coding,MACF1; ENSG00000127603,FALSE
ENSG00000226438,havana,gene,ENSG00000226438,1,AL442071.1,havana,antisense,AL442071.1; ENSG00000226438,FALSE
ENSG00000183682,ensembl_havana,gene,ENSG00000183682,7,BMP8A,ensembl_havana,protein_coding,BMP8A; ENSG00000183682,FALSE
ENSG00000090621,ensembl_havana,gene,ENSG00000090621,13,PABPC4,ensembl_havana,protein_coding,PABPC4; ENSG00000090621,TRUE
ENSG00000228060,havana,gene,ENSG00000228060,1,AL365277.1,havana,antisense,AL365277.1; ENSG00000228060,FALSE
ENSG00000163909,ensembl_havana,gene,ENSG00000163909,7,HEYL,ensembl_havana,protein_coding,HEYL; ENSG00000163909,FALSE
ENSG00000225903,havana,gene,ENSG00000225903,1,AL035404.2,havana,antisense,AL035404.2; ENSG00000225903,FALSE
ENSG00000116981,ensembl_havana,gene,ENSG00000116981,3,NT5C1A,ensembl_havana,protein_coding,NT5C1A; ENSG00000116981,FALSE
ENSG00000116983,ensembl_havana,gene,ENSG00000116983,12,HPCAL4,ensembl_havana,protein_coding,HPCAL4; ENSG00000116983,FALSE
ENSG00000084072,ensembl_havana,gene,ENSG00000084072,16,PPIE,ensembl_havana,protein_coding,PPIE; ENSG00000084072,FALSE
ENSG00000116985,ensembl_havana,gene,ENSG00000116985,11,BMP8B,ensembl_havana,protein_coding,BMP8B; ENSG00000116985,FALSE
ENSG00000198754,havana,gene,ENSG00000198754,5,OXCT2,havana,protein_coding,OXCT2; ENSG00000198754,FALSE
ENSG00000261798,havana,gene,ENSG00000261798,1,AL033527.3,havana,antisense,AL033527.3; ENSG00000261798,FALSE
ENSG00000284719,havana,gene,ENSG00000284719,1,AL033527.5,havana,lincRNA,AL033527.5; ENSG00000284719,FALSE
ENSG00000284678,havana,gene,ENSG00000284678,1,AL033527.4,havana,lincRNA,AL033527.4; ENSG00000284678,FALSE
ENSG00000043514,ensembl_havana,gene,ENSG00000043514,15,TRIT1,ensembl_havana,protein_coding,TRIT1; ENSG00000043514,FALSE
ENSG00000116990,ensembl_havana,gene,ENSG00000116990,10,MYCL,ensembl_havana,protein_coding,MYCL; ENSG00000116990,FALSE
ENSG00000236546,havana,gene,ENSG00000236546,1,AL033527.2,havana,antisense,AL033527.2; ENSG00000236546,FALSE
ENSG00000168389,ensembl_havana,gene,ENSG00000168389,17,MFSD2A,ensembl_havana,protein_coding,MFSD2A; ENSG00000168389,FALSE
ENSG00000131236,ensembl_havana,gene,ENSG00000131236,16,CAP1,ensembl_havana,protein_coding,CAP1; ENSG00000131236,TRUE
ENSG00000131238,ensembl_havana,gene,ENSG00000131238,17,PPT1,ensembl_havana,protein_coding,PPT1; ENSG00000131238,FALSE
ENSG00000117000,ensembl_havana,gene,ENSG00000117000,8,RLF,ensembl_havana,protein_coding,RLF; ENSG00000117000,FALSE
ENSG00000188800,ensembl_havana,gene,ENSG00000188800,5,TMCO2,ensembl_havana,protein_coding,TMCO2; ENSG00000188800,FALSE
ENSG00000259943,havana,gene,ENSG00000259943,1,AL050341.2,havana,antisense,AL050341.2; ENSG00000259943,FALSE
ENSG00000084073,ensembl_havana,gene,ENSG00000084073,8,ZMPSTE24,ensembl_havana,protein_coding,ZMPSTE24; ENSG00000084073,FALSE
ENSG00000049089,ensembl_havana,gene,ENSG00000049089,14,COL9A2,ensembl_havana,protein_coding,COL9A2; ENSG00000049089,TRUE
ENSG00000084070,ensembl_havana,gene,ENSG00000084070,11,SMAP2,ensembl_havana,protein_coding,SMAP2; ENSG00000084070,FALSE
ENSG00000284677,havana,gene,ENSG00000284677,1,AL031985.4,havana,lincRNA,AL031985.4; ENSG00000284677,FALSE
ENSG00000187801,ensembl_havana,gene,ENSG00000187801,14,ZFP69B,ensembl_havana,protein_coding,ZFP69B; ENSG00000187801,FALSE
ENSG00000187815,ensembl_havana,gene,ENSG00000187815,9,ZFP69,ensembl_havana,protein_coding,ZFP69; ENSG00000187815,FALSE
ENSG00000238287,havana,gene,ENSG00000238287,1,AL603839.3,havana,antisense,AL603839.3; ENSG00000238287,FALSE
ENSG00000164002,ensembl_havana,gene,ENSG00000164002,11,EXO5,ensembl_havana,protein_coding,EXO5; ENSG00000164002,FALSE
ENSG00000227278,havana,gene,ENSG00000227278,1,AL603839.1,havana,antisense,AL603839.1; ENSG00000227278,FALSE
ENSG00000238186,havana,gene,ENSG00000238186,1,AL603839.2,havana,antisense,AL603839.2; ENSG00000238186,FALSE
ENSG00000117010,ensembl_havana,gene,ENSG00000117010,15,ZNF684,ensembl_havana,protein_coding,ZNF684; ENSG00000117010,FALSE
ENSG00000117016,ensembl_havana,gene,ENSG00000117016,9,RIMS3,ensembl_havana,protein_coding,RIMS3; ENSG00000117016,FALSE
ENSG00000237899,havana,gene,ENSG00000237899,1,AL031289.1,havana,lincRNA,AL031289.1; ENSG00000237899,FALSE
ENSG00000272145,havana,gene,ENSG00000272145,1,NFYC-AS1,havana,antisense,NFYC-AS1; ENSG00000272145,FALSE
ENSG00000066136,ensembl_havana,gene,ENSG00000066136,20,NFYC,ensembl_havana,protein_coding,NFYC; ENSG00000066136,FALSE
ENSG00000117013,ensembl_havana,gene,ENSG00000117013,15,KCNQ4,ensembl_havana,protein_coding,KCNQ4; ENSG00000117013,FALSE
ENSG00000179862,ensembl_havana,gene,ENSG00000179862,6,CITED4,ensembl_havana,protein_coding,CITED4; ENSG00000179862,TRUE
ENSG00000229528,havana,gene,ENSG00000229528,1,AC119677.1,havana,antisense,AC119677.1; ENSG00000229528,FALSE
ENSG00000171793,ensembl_havana,gene,ENSG00000171793,13,CTPS1,ensembl_havana,protein_coding,CTPS1; ENSG00000171793,FALSE
ENSG00000281207,havana,gene,ENSG00000281207,1,SLFNL1-AS1,havana,antisense,SLFNL1-AS1; ENSG00000281207,FALSE
ENSG00000171790,ensembl_havana,gene,ENSG00000171790,15,SLFNL1,ensembl_havana,protein_coding,SLFNL1; ENSG00000171790,FALSE
ENSG00000010803,ensembl_havana,gene,ENSG00000010803,16,SCMH1,ensembl_havana,protein_coding,SCMH1; ENSG00000010803,FALSE
ENSG00000235358,havana,gene,ENSG00000235358,1,AC093151.3,havana,lincRNA,AC093151.3; ENSG00000235358,FALSE
ENSG00000204060,ensembl_havana,gene,ENSG00000204060,7,FOXO6,ensembl_havana,protein_coding,FOXO6; ENSG00000204060,FALSE
ENSG00000229901,havana,gene,ENSG00000229901,1,AC093151.2,havana,antisense,AC093151.2; ENSG00000229901,FALSE
ENSG00000127129,ensembl_havana,gene,ENSG00000127129,9,EDN2,ensembl_havana,protein_coding,EDN2; ENSG00000127129,FALSE
ENSG00000127124,havana,gene,ENSG00000127124,15,HIVEP3,havana,protein_coding,HIVEP3; ENSG00000127124,FALSE
ENSG00000230881,havana,gene,ENSG00000230881,1,AL445933.2,havana,antisense,AL445933.2; ENSG00000230881,FALSE
ENSG00000284895,havana,gene,ENSG00000284895,1,AC119676.1,havana,protein_coding,AC119676.1; ENSG00000284895,FALSE
ENSG00000044012,ensembl_havana,gene,ENSG00000044012,3,GUCA2B,ensembl_havana,protein_coding,GUCA2B; ENSG00000044012,FALSE
ENSG00000197273,ensembl_havana,gene,ENSG00000197273,3,GUCA2A,ensembl_havana,protein_coding,GUCA2A; ENSG00000197273,FALSE
ENSG00000198815,ensembl_havana,gene,ENSG00000198815,8,FOXJ3,ensembl_havana,protein_coding,FOXJ3; ENSG00000198815,FALSE
ENSG00000177181,ensembl_havana,gene,ENSG00000177181,14,RIMKLA,ensembl_havana,protein_coding,RIMKLA; ENSG00000177181,FALSE
ENSG00000066185,ensembl_havana,gene,ENSG00000066185,12,ZMYND12,ensembl_havana,protein_coding,ZMYND12; ENSG00000066185,FALSE
ENSG00000127125,ensembl_havana,gene,ENSG00000127125,8,PPCS,ensembl_havana,protein_coding,PPCS; ENSG00000127125,FALSE
ENSG00000186409,ensembl_havana,gene,ENSG00000186409,15,CCDC30,ensembl_havana,protein_coding,CCDC30; ENSG00000186409,FALSE
ENSG00000171960,ensembl_havana,gene,ENSG00000171960,10,PPIH,ensembl_havana,protein_coding,PPIH; ENSG00000171960,FALSE
ENSG00000234917,havana,gene,ENSG00000234917,2,AC098484.2,havana,lincRNA,AC098484.2; ENSG00000234917,FALSE
ENSG00000065978,ensembl_havana,gene,ENSG00000065978,18,YBX1,ensembl_havana,protein_coding,YBX1; ENSG00000065978,TRUE
ENSG00000164007,ensembl_havana,gene,ENSG00000164007,10,CLDN19,ensembl_havana,protein_coding,CLDN19; ENSG00000164007,FALSE
ENSG00000117385,ensembl_havana,gene,ENSG00000117385,15,P3H1,ensembl_havana,protein_coding,P3H1; ENSG00000117385,FALSE
ENSG00000164008,ensembl_havana,gene,ENSG00000164008,15,C1orf50,ensembl_havana,protein_coding,C1orf50; ENSG00000164008,FALSE
ENSG00000283580,havana,gene,ENSG00000283580,2,AC098484.3,havana,protein_coding,AC098484.3; ENSG00000283580,FALSE
ENSG00000228452,havana,gene,ENSG00000228452,1,AC098484.1,havana,antisense,AC098484.1; ENSG00000228452,FALSE
ENSG00000274386,ensembl_havana,gene,ENSG00000274386,5,TMEM269,ensembl_havana,protein_coding,TMEM269; ENSG00000274386,FALSE
ENSG00000177868,ensembl_havana,gene,ENSG00000177868,11,SVBP,ensembl_havana,protein_coding,SVBP; ENSG00000177868,FALSE
ENSG00000164010,ensembl_havana,gene,ENSG00000164010,14,ERMAP,ensembl_havana,protein_coding,ERMAP; ENSG00000164010,FALSE
ENSG00000228192,havana,gene,ENSG00000228192,7,AL512353.1,havana,antisense,AL512353.1; ENSG00000228192,FALSE
ENSG00000164011,ensembl_havana,gene,ENSG00000164011,17,ZNF691,ensembl_havana,protein_coding,ZNF691; ENSG00000164011,FALSE
ENSG00000117394,ensembl_havana,gene,ENSG00000117394,21,SLC2A1,ensembl_havana,protein_coding,SLC2A1; ENSG00000117394,TRUE
ENSG00000227533,havana,gene,ENSG00000227533,5,SLC2A1-AS1,havana,lincRNA,SLC2A1-AS1; ENSG00000227533,FALSE
ENSG00000283973,havana,gene,ENSG00000283973,1,AC099795.1,havana,lincRNA,AC099795.1; ENSG00000283973,FALSE
ENSG00000186973,ensembl_havana,gene,ENSG00000186973,10,FAM183A,ensembl_havana,protein_coding,FAM183A; ENSG00000186973,FALSE
ENSG00000117395,ensembl_havana,gene,ENSG00000117395,12,EBNA1BP2,ensembl_havana,protein_coding,EBNA1BP2; ENSG00000117395,FALSE
ENSG00000243710,ensembl_havana,gene,ENSG00000243710,7,CFAP57,ensembl_havana,protein_coding,CFAP57; ENSG00000243710,FALSE
ENSG00000179178,ensembl_havana,gene,ENSG00000179178,10,TMEM125,ensembl_havana,protein_coding,TMEM125; ENSG00000179178,TRUE
ENSG00000253313,ensembl_havana,gene,ENSG00000253313,5,C1orf210,ensembl_havana,protein_coding,C1orf210; ENSG00000253313,FALSE
ENSG00000066056,ensembl_havana,gene,ENSG00000066056,13,TIE1,ensembl_havana,protein_coding,TIE1; ENSG00000066056,FALSE
ENSG00000117400,ensembl_havana,gene,ENSG00000117400,17,MPL,ensembl_havana,protein_coding,MPL; ENSG00000117400,FALSE
ENSG00000234694,havana,gene,ENSG00000234694,1,AL139289.2,havana,antisense,AL139289.2; ENSG00000234694,FALSE
ENSG00000117399,ensembl_havana,gene,ENSG00000117399,13,CDC20,ensembl_havana,protein_coding,CDC20; ENSG00000117399,FALSE
ENSG00000066322,ensembl_havana,gene,ENSG00000066322,14,ELOVL1,ensembl_havana,protein_coding,ELOVL1; ENSG00000066322,TRUE
ENSG00000159479,ensembl_havana,gene,ENSG00000159479,16,MED8,ensembl_havana,protein_coding,MED8; ENSG00000159479,FALSE
ENSG00000229431,havana,gene,ENSG00000229431,1,AL139289.1,havana,antisense,AL139289.1; ENSG00000229431,FALSE
ENSG00000198198,ensembl_havana,gene,ENSG00000198198,15,SZT2,ensembl_havana,protein_coding,SZT2; ENSG00000198198,FALSE
ENSG00000229372,havana,gene,ENSG00000229372,1,SZT2-AS1,havana,antisense,SZT2-AS1; ENSG00000229372,FALSE
ENSG00000178922,ensembl_havana,gene,ENSG00000178922,16,HYI,ensembl_havana,protein_coding,HYI; ENSG00000178922,FALSE
ENSG00000142949,ensembl_havana,gene,ENSG00000142949,16,PTPRF,ensembl_havana,protein_coding,PTPRF; ENSG00000142949,FALSE
ENSG00000284989,havana,gene,ENSG00000284989,1,AL451062.3,havana,protein_coding,AL451062.3; ENSG00000284989,FALSE
ENSG00000066135,ensembl_havana,gene,ENSG00000066135,12,KDM4A,ensembl_havana,protein_coding,KDM4A; ENSG00000066135,FALSE
ENSG00000236200,havana,gene,ENSG00000236200,5,KDM4A-AS1,havana,antisense,KDM4A-AS1; ENSG00000236200,FALSE
ENSG00000126091,ensembl_havana,gene,ENSG00000126091,20,ST3GAL3,ensembl_havana,protein_coding,ST3GAL3; ENSG00000126091,FALSE
ENSG00000229444,havana,gene,ENSG00000229444,1,AL451062.1,havana,antisense,AL451062.1; ENSG00000229444,FALSE
ENSG00000117407,ensembl_havana,gene,ENSG00000117407,16,ARTN,ensembl_havana,protein_coding,ARTN; ENSG00000117407,FALSE
ENSG00000237950,havana,gene,ENSG00000237950,1,AL357079.1,havana,antisense,AL357079.1; ENSG00000237950,FALSE
ENSG00000117408,ensembl_havana,gene,ENSG00000117408,10,IPO13,ensembl_havana,protein_coding,IPO13; ENSG00000117408,TRUE
ENSG00000132768,ensembl_havana,gene,ENSG00000132768,13,DPH2,ensembl_havana,protein_coding,DPH2; ENSG00000132768,FALSE
ENSG00000117410,ensembl_havana,gene,ENSG00000117410,13,ATP6V0B,ensembl_havana,protein_coding,ATP6V0B; ENSG00000117410,FALSE
ENSG00000117411,ensembl_havana,gene,ENSG00000117411,16,B4GALT2,ensembl_havana,protein_coding,B4GALT2; ENSG00000117411,FALSE
ENSG00000159214,ensembl_havana,gene,ENSG00000159214,12,CCDC24,ensembl_havana,protein_coding,CCDC24; ENSG00000159214,FALSE
ENSG00000196517,ensembl_havana,gene,ENSG00000196517,11,SLC6A9,ensembl_havana,protein_coding,SLC6A9; ENSG00000196517,FALSE
ENSG00000230615,havana,gene,ENSG00000230615,6,AL139220.2,havana,lincRNA,AL139220.2; ENSG00000230615,FALSE
ENSG00000171872,ensembl_havana,gene,ENSG00000171872,4,KLF17,ensembl_havana,protein_coding,KLF17; ENSG00000171872,FALSE
ENSG00000283039,havana,gene,ENSG00000283039,1,KLF18,havana,protein_coding,KLF18; ENSG00000283039,FALSE
ENSG00000178028,ensembl_havana,gene,ENSG00000178028,13,DMAP1,ensembl_havana,protein_coding,DMAP1; ENSG00000178028,FALSE
ENSG00000117419,ensembl_havana,gene,ENSG00000117419,14,ERI3,ensembl_havana,protein_coding,ERI3; ENSG00000117419,FALSE
ENSG00000187147,ensembl_havana,gene,ENSG00000187147,17,RNF220,ensembl_havana,protein_coding,RNF220; ENSG00000187147,FALSE
ENSG00000126106,ensembl_havana,gene,ENSG00000126106,13,TMEM53,ensembl_havana,protein_coding,TMEM53; ENSG00000126106,FALSE
ENSG00000198520,ensembl_havana,gene,ENSG00000198520,10,ARMH1,ensembl_havana,protein_coding,ARMH1; ENSG00000198520,FALSE
ENSG00000142945,ensembl_havana,gene,ENSG00000142945,12,KIF2C,ensembl_havana,protein_coding,KIF2C; ENSG00000142945,FALSE
ENSG00000225721,havana,gene,ENSG00000225721,5,AL592166.1,havana,antisense,AL592166.1; ENSG00000225721,FALSE
ENSG00000142937,ensembl_havana,gene,ENSG00000142937,11,RPS8,ensembl_havana,protein_coding,RPS8; ENSG00000142937,TRUE
ENSG00000142959,ensembl_havana,gene,ENSG00000142959,4,BEST4,ensembl_havana,protein_coding,BEST4; ENSG00000142959,FALSE
ENSG00000173846,ensembl_havana,gene,ENSG00000173846,12,PLK3,ensembl_havana,protein_coding,PLK3; ENSG00000173846,FALSE
ENSG00000188396,ensembl_havana,gene,ENSG00000188396,3,TCTEX1D4,ensembl_havana,protein_coding,TCTEX1D4; ENSG00000188396,FALSE
ENSG00000222009,ensembl_havana,gene,ENSG00000222009,8,BTBD19,ensembl_havana,protein_coding,BTBD19; ENSG00000222009,FALSE
ENSG00000117425,ensembl_havana,gene,ENSG00000117425,13,PTCH2,ensembl_havana,protein_coding,PTCH2; ENSG00000117425,FALSE
ENSG00000070785,ensembl_havana,gene,ENSG00000070785,16,EIF2B3,ensembl_havana,protein_coding,EIF2B3; ENSG00000070785,FALSE
ENSG00000126107,ensembl_havana,gene,ENSG00000126107,14,HECTD3,ensembl_havana,protein_coding,HECTD3; ENSG00000126107,FALSE
ENSG00000126088,ensembl_havana,gene,ENSG00000126088,13,UROD,ensembl_havana,protein_coding,UROD; ENSG00000126088,FALSE
ENSG00000162415,ensembl_havana,gene,ENSG00000162415,6,ZSWIM5,ensembl_havana,protein_coding,ZSWIM5; ENSG00000162415,FALSE
ENSG00000281912,havana,gene,ENSG00000281912,1,LINC01144,havana,lincRNA,LINC01144; ENSG00000281912,FALSE
ENSG00000186603,ensembl_havana,gene,ENSG00000186603,5,HPDL,ensembl_havana,protein_coding,HPDL; ENSG00000186603,FALSE
ENSG00000132781,ensembl_havana,gene,ENSG00000132781,17,MUTYH,ensembl_havana,protein_coding,MUTYH; ENSG00000132781,FALSE
ENSG00000132773,ensembl_havana,gene,ENSG00000132773,11,TOE1,ensembl_havana,protein_coding,TOE1; ENSG00000132773,FALSE
ENSG00000070759,ensembl_havana,gene,ENSG00000070759,16,TESK2,ensembl_havana,protein_coding,TESK2; ENSG00000070759,FALSE
ENSG00000280670,havana,gene,ENSG00000280670,2,CCDC163,havana,protein_coding,CCDC163; ENSG00000280670,FALSE
ENSG00000132763,ensembl_havana,gene,ENSG00000132763,14,MMACHC,ensembl_havana,protein_coding,MMACHC; ENSG00000132763,FALSE
ENSG00000117450,ensembl_havana,gene,ENSG00000117450,13,PRDX1,ensembl_havana,protein_coding,PRDX1; ENSG00000117450,TRUE
ENSG00000117448,ensembl_havana,gene,ENSG00000117448,13,AKR1A1,ensembl_havana,protein_coding,AKR1A1; ENSG00000117448,TRUE
ENSG00000132780,ensembl_havana,gene,ENSG00000132780,16,NASP,ensembl_havana,protein_coding,NASP; ENSG00000132780,TRUE
ENSG00000159588,ensembl_havana,gene,ENSG00000159588,14,CCDC17,ensembl_havana,protein_coding,CCDC17; ENSG00000159588,FALSE
ENSG00000159592,ensembl_havana,gene,ENSG00000159592,10,GPBP1L1,ensembl_havana,protein_coding,GPBP1L1; ENSG00000159592,TRUE
ENSG00000159596,ensembl_havana,gene,ENSG00000159596,6,TMEM69,ensembl_havana,protein_coding,TMEM69; ENSG00000159596,FALSE
ENSG00000197429,ensembl_havana,gene,ENSG00000197429,10,IPP,ensembl_havana,protein_coding,IPP; ENSG00000197429,FALSE
ENSG00000086015,ensembl_havana,gene,ENSG00000086015,20,MAST2,ensembl_havana,protein_coding,MAST2; ENSG00000086015,FALSE
ENSG00000117461,ensembl_havana,gene,ENSG00000117461,14,PIK3R3,ensembl_havana,protein_coding,PIK3R3; ENSG00000117461,FALSE
ENSG00000278139,havana,gene,ENSG00000278139,1,AL358075.4,havana,protein_coding,AL358075.4; ENSG00000278139,FALSE
ENSG00000226957,havana,gene,ENSG00000226957,1,AL358075.1,havana,antisense,AL358075.1; ENSG00000226957,FALSE
ENSG00000227857,havana,gene,ENSG00000227857,2,AL358075.2,havana,antisense,AL358075.2; ENSG00000227857,FALSE
ENSG00000117472,ensembl_havana,gene,ENSG00000117472,9,TSPAN1,ensembl_havana,protein_coding,TSPAN1; ENSG00000117472,TRUE
ENSG00000250719,havana,gene,ENSG00000250719,1,AL672043.1,havana,protein_coding,AL672043.1; ENSG00000250719,FALSE
ENSG00000085998,ensembl_havana,gene,ENSG00000085998,13,POMGNT1,ensembl_havana,protein_coding,POMGNT1; ENSG00000085998,FALSE
ENSG00000171357,ensembl_havana,gene,ENSG00000171357,5,LURAP1,ensembl_havana,protein_coding,LURAP1; ENSG00000171357,FALSE
ENSG00000085999,ensembl_havana,gene,ENSG00000085999,11,RAD54L,ensembl_havana,protein_coding,RAD54L; ENSG00000085999,FALSE
ENSG00000132128,ensembl_havana,gene,ENSG00000132128,16,LRRC41,ensembl_havana,protein_coding,LRRC41; ENSG00000132128,FALSE
ENSG00000173660,ensembl_havana,gene,ENSG00000173660,11,UQCRH,ensembl_havana,protein_coding,UQCRH; ENSG00000173660,FALSE
ENSG00000117481,ensembl_havana,gene,ENSG00000117481,10,NSUN4,ensembl_havana,protein_coding,NSUN4; ENSG00000117481,FALSE
ENSG00000117480,ensembl_havana,gene,ENSG00000117480,15,FAAH,ensembl_havana,protein_coding,FAAH; ENSG00000117480,FALSE
ENSG00000197587,ensembl_havana,gene,ENSG00000197587,10,DMBX1,ensembl_havana,protein_coding,DMBX1; ENSG00000197587,FALSE
ENSG00000282881,havana,gene,ENSG00000282881,1,AL136373.1,havana,protein_coding,AL136373.1; ENSG00000282881,FALSE
ENSG00000269956,havana,gene,ENSG00000269956,1,MKNK1-AS1,havana,antisense,MKNK1-AS1; ENSG00000269956,FALSE
ENSG00000162456,ensembl_havana,gene,ENSG00000162456,9,KNCN,ensembl_havana,protein_coding,KNCN; ENSG00000162456,FALSE
ENSG00000079277,ensembl_havana,gene,ENSG00000079277,19,MKNK1,ensembl_havana,protein_coding,MKNK1; ENSG00000079277,FALSE
ENSG00000142961,ensembl_havana,gene,ENSG00000142961,14,MOB3C,ensembl_havana,protein_coding,MOB3C; ENSG00000142961,FALSE
ENSG00000123472,ensembl_havana,gene,ENSG00000123472,12,ATPAF1,ensembl_havana,protein_coding,ATPAF1; ENSG00000123472,FALSE
ENSG00000186118,ensembl_havana,gene,ENSG00000186118,8,TEX38,ensembl_havana,protein_coding,TEX38; ENSG00000186118,FALSE
ENSG00000228237,havana,gene,ENSG00000228237,5,EFCAB14-AS1,havana,antisense,EFCAB14-AS1; ENSG00000228237,FALSE
ENSG00000159658,ensembl_havana,gene,ENSG00000159658,10,EFCAB14,ensembl_havana,protein_coding,EFCAB14; ENSG00000159658,TRUE
ENSG00000142973,ensembl_havana,gene,ENSG00000142973,13,CYP4B1,ensembl_havana,protein_coding,CYP4B1; ENSG00000142973,FALSE
ENSG00000187048,ensembl_havana,gene,ENSG00000187048,12,CYP4A11,ensembl_havana,protein_coding,CYP4A11; ENSG00000187048,FALSE
ENSG00000186377,ensembl_havana,gene,ENSG00000186377,7,CYP4X1,ensembl_havana,protein_coding,CYP4X1; ENSG00000186377,FALSE
ENSG00000186160,ensembl_havana,gene,ENSG00000186160,4,CYP4Z1,ensembl_havana,protein_coding,CYP4Z1; ENSG00000186160,TRUE
