symbol,Reference,species,m,gene_name,ensembl,models,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,WM,p_value,fdr,t_stat,log_fc,rank,mean_expr,best_gene_m,best_gene_name,best_gene_ensembl,best_gene_p_value,best_gene_fdr,best_gene_t_stat,best_gene_log_fc,best_gene_mean_expr
Oma1,Molyneaux,MH,830,OMA1,ENSG00000162600,Layer5,0,0,0,0,1,0,0,0.112798489,0.518287795,-1.604115208,-0.313494657,4859,3.695415588,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Igfbp4,Molyneaux,MH,18297,IGFBP4,ENSG00000141753,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.131542099,0.286187119,-1.524326331,-0.217046008,10264,7.254017109,16123,ARPP19,ENSG00000128989,1.69E-15,3.77E-11,9.975362725,0.474467146,10.72037601
Col24a1,Zeng,MH,969,COL24A1,ENSG00000171502,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.146953189,0.30804361,1.465209305,0.253379625,10651,3.157181671,16123,ARPP19,ENSG00000128989,1.69E-15,3.77E-11,9.975362725,0.474467146,10.72037601
cux1,Molyneaux,MH,8614,CUX1,ENSG00000257923,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,0.15020321,0.316254802,1.453355339,0.109186376,10605,6.381683139,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Foxo1,Molyneaux,MH,14820,FOXO1,ENSG00000150907,Layer5,0,0,0,0,1,0,0,0.154288763,0.586854432,-1.438752192,-0.292469355,5871,4.275643475,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
S100A10,Molyneaux,MH,1385,S100A10,ENSG00000197747,Layer5,0,0,0,0,1,0,0,0.16318517,0.599252413,-1.407952304,-0.338734915,6080,7.079485925,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Kcnip2,Molyneaux,MH,13247,KCNIP2,ENSG00000120049,Layer4,0,0,0,1,0,0,0,0.182319245,0.488701363,-1.345835848,-0.287399559,8331,6.454059472,13544,VAMP1,ENSG00000139190,2.50E-12,4.94E-08,8.321384077,1.271969521,7.017662699
Kcnip1,Zeng,H,6723,KCNIP1,ENSG00000182132,Layer4,0,0,0,1,0,0,0,0.206596289,0.513752976,-1.273753425,-0.169636393,8980,5.245712213,13544,VAMP1,ENSG00000139190,2.50E-12,4.94E-08,8.321384077,1.271969521,7.017662699
Tle3,Molyneaux,MH,16272,TLE3,ENSG00000140332,Layer2+Layer3,0,1,1,0,0,0,0,0.270174416,0.528814954,-1.110680128,-0.103040246,11409,5.957058285,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
Sema3c,Zeng,H,8430,SEMA3C,ENSG00000075223,Layer6,0,0,0,0,0,1,0,0.277452343,0.720356733,1.093828433,0.287550395,8601,5.037865067,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
dtx4,Molyneaux,MH,11822,DTX4,ENSG00000110042,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,0.30235056,0.502103841,-1.038388682,-0.082259553,13447,5.600327596,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Mdga1,Molyneaux,MH,7305,MDGA1,ENSG00000112139,Layer2+Layer3,0,1,1,0,0,0,0,0.334213268,0.594213096,0.971780396,0.208267598,12560,3.552147351,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
Sox5,Molyneaux,MH,13730,SOX5,ENSG00000134532,Layer5+Layer6,0,0,0,0,1,1,0,0.382557423,0.704800743,0.878238609,0.180350298,12121,3.749921166,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Otx1,Molyneaux,MH,2645,OTX1,ENSG00000115507,Layer5+Layer6,0,0,0,0,1,1,0,0.397851025,0.716658162,-0.850216967,-0.201685917,12397,2.065755889,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Sv2c,Zeng,H,6161,SV2C,ENSG00000122012,Layer3,0,0,1,0,0,0,0,0.440149919,0.812807111,0.775973369,0.263977944,12092,4.401337008,6121,CARTPT,ENSG00000164326,2.07E-12,4.63E-08,8.363742991,2.264233817,6.426823464
Lix1,Molyneaux,MH,6263,LIX1,ENSG00000145721,Layer5,0,0,0,0,1,0,0,0.444413295,0.820016155,-0.768731309,-0.271799166,12102,4.274512095,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Pcdh20,Zeng,MH,14932,PCDH20,ENSG00000280165,Layer5+Layer6,0,0,0,0,1,1,0,0.495450196,0.784250995,0.684934447,0.182260669,14107,2.096336963,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Tpbg,Zeng,MH,7534,TPBG,ENSG00000146242,Layer3+Layer5+Layer6,0,0,1,0,1,1,0,0.522639844,0.743095008,-0.64222917,-0.111308245,15706,5.95152183,14498,WSB2,ENSG00000176871,4.28E-10,9.56E-06,7.156157663,0.379212744,9.344481955
Rgs8,Molyneaux,MH,1765,RGS8,ENSG00000135824,Layer2+Layer6,0,1,0,0,0,1,0,0.553711851,0.839781264,0.594823921,0.149703287,14724,3.280288108,15352,GNG2,ENSG00000186469,3.98E-19,8.88E-15,11.915234,0.949119662,7.418248864
Igsf11,Zeng,MH,4445,IGSF11,ENSG00000144847,Layer2+Layer3,0,1,1,0,0,0,0,0.565569851,0.774260688,0.57708726,0.118419829,16312,5.005708596,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
Ldb2,Molyneaux,MH,5138,LDB2,ENSG00000169744,Layer5,0,0,0,0,1,0,0,0.602529784,0.894085494,0.522930663,0.090056006,15049,7.623309172,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Syt10,Zeng,MH,13799,SYT10,ENSG00000110975,Layer6,0,0,0,0,0,1,0,0.641174655,0.896798552,0.467910933,0.135045233,15964,0.847067715,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Npy2r,Zeng,H,5692,NPY2R,ENSG00000185149,Layer6,0,0,0,0,0,1,0,0.717734389,0.920755291,-0.362823391,-0.13656381,17405,2.557845578,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Cyp39a1,Molyneaux,MH,7412,CYP39A1,ENSG00000146233,Layer4,0,0,0,1,0,0,0,0.723508694,0.881866309,-0.35507368,-0.087978804,18321,0.674688129,13544,VAMP1,ENSG00000139190,2.50E-12,4.94E-08,8.321384077,1.271969521,7.017662699
Cntn6,Molyneaux,MH,3764,CNTN6,ENSG00000134115,Layer5,0,0,0,0,1,0,0,0.744754774,0.938273646,0.326739566,0.075433947,17723,3.811192188,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Diaph3,Molyneaux,MH,14930,DIAPH3,ENSG00000139734,Layer2+Layer3+Layer5,0,1,1,0,1,0,0,0.938405292,0.969235202,0.077528101,0.018704026,21620,2.309178747,5702,FAM198B,ENSG00000164125,2.83E-14,6.32E-10,-9.333344326,-0.686573533,6.689981223
Ppp1r1b,Molyneaux,MH,18271,PPP1R1B,ENSG00000131771,Layer6,0,0,0,0,0,1,0,0.940907062,0.988934219,0.074373111,0.007494853,21246,7.722240841,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Crym,Molyneaux,MH,16941,CRYM,ENSG00000103316,Layer5+Layer6,0,0,0,0,1,1,0,0.968019997,0.989465581,0.040222839,0.005342452,21847,8.640983059,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Syt9,Molyneaux,MH,11537,SYT9,ENSG00000170743,Layer5,0,0,0,0,1,0,0,0.971069128,0.993490918,-0.036385969,-0.008578771,21827,3.296753766,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
